product,uf,volume,unit,year_month,created_at
ÓLEO DIESEL S-10 ,RONDÔNIA,81453.67,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,ACRE,1483.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,AMAZONAS,6836.3,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RORAIMA,1475.3,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PARÁ,40913.48,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,AMAPÁ,683.948,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,TOCANTINS,11771.7,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MARANHÃO,12974.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PIAUÍ,6373.25,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,CEARÁ,47724.922,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RIO GRANDE DO NORTE,3025.55,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PARAÍBA,2964.5,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PERNAMBUCO,94832.55,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,ALAGOAS,58801.636999999995,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,SERGIPE,9882.4,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,BAHIA,55057.999,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MINAS GERAIS,102297.806,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,ESPÍRITO SANTO,13020.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RIO DE JANEIRO,92614.39,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,SÃO PAULO,235476.41,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PARANÁ,54564.884,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,SANTA CATARINA,31415.778,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RIO GRANDE DO SUL,36805.532,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MATO GROSSO DO SUL,10515.1,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MATO GROSSO,15429.153,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,GOIÁS,14061.55,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,DISTRITO FEDERAL,66012.73,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RONDÔNIA,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,ACRE,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,AMAZONAS,541.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RORAIMA,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PARÁ,2056.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,AMAPÁ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,TOCANTINS,2330.5,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MARANHÃO,69684.071,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PIAUÍ,39924.95,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,CEARÁ,2053.5,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RIO GRANDE DO NORTE,1022.55,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PARAÍBA,38591.16,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PERNAMBUCO,749045.37,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,ALAGOAS,32434.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,SERGIPE,23705.3,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,BAHIA,240737.51,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MINAS GERAIS,220656.52,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,ESPÍRITO SANTO,88926.941,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RIO DE JANEIRO,82454.598,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,SÃO PAULO,628861.003,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PARANÁ,341786.96,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,SANTA CATARINA,108014.698,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RIO GRANDE DO SUL,92444.418,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MATO GROSSO DO SUL,5890.73,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MATO GROSSO,981.225,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,GOIÁS,28780.9,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-500 ,DISTRITO FEDERAL,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RONDÔNIA,57128.718,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,ACRE,14139.166,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,AMAZONAS,97615.793,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RORAIMA,5462.8,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PARÁ,138496.156,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,AMAPÁ,36902.285,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,TOCANTINS,58116.55,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MARANHÃO,12291.8,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PIAUÍ,10.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,CEARÁ,34480.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RIO GRANDE DO NORTE,48146.9,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PARAÍBA,61.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PERNAMBUCO,267.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,ALAGOAS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,SERGIPE,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,BAHIA,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MINAS GERAIS,366934.587,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,ESPÍRITO SANTO,380.45,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RIO DE JANEIRO,52102.783,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,SÃO PAULO,243383.286,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PARANÁ,14536.469,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,SANTA CATARINA,74259.53,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RIO GRANDE DO SUL,129263.354,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MATO GROSSO DO SUL,84477.19,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MATO GROSSO,2381033.9949999996,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,GOIÁS,149833.82,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,DISTRITO FEDERAL,29075.876,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RONDÔNIA,2027.049,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,ACRE,25.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,AMAZONAS,8964.348,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RORAIMA,70.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PARÁ,7856.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,AMAPÁ,100.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,TOCANTINS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MARANHÃO,797.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PIAUÍ,130.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,CEARÁ,400.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RIO GRANDE DO NORTE,9349.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PARAÍBA,141.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PERNAMBUCO,1068.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,ALAGOAS,83.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,SERGIPE,284.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,BAHIA,2197.058,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MINAS GERAIS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,ESPÍRITO SANTO,4046.941,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RIO DE JANEIRO,28093.381,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,SÃO PAULO,2842.04,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PARANÁ,603.9,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,SANTA CATARINA,4834.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RIO GRANDE DO SUL,1818.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MATO GROSSO DO SUL,810.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MATO GROSSO,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,GOIÁS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,DISTRITO FEDERAL,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RONDÔNIA,10.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,ACRE,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,AMAZONAS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RORAIMA,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PARÁ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,AMAPÁ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,TOCANTINS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MARANHÃO,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PIAUÍ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,CEARÁ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RIO GRANDE DO NORTE,0.0,m3,2013-01-01,2023-10-14
