product,uf,volume,unit,year_month,created_at
GASOLINA C ,RONDÔNIA,136073.25300000003,m3,2000-01-01,2023-10-14
GASOLINA C ,ACRE,3358.346,m3,2000-01-01,2023-10-14
GASOLINA C ,AMAZONAS,20766.918,m3,2000-01-01,2023-10-14
GASOLINA C ,RORAIMA,3716.032,m3,2000-01-01,2023-10-14
GASOLINA C ,PARÁ,29755.907,m3,2000-01-01,2023-10-14
GASOLINA C ,AMAPÁ,4096.7,m3,2000-01-01,2023-10-14
GASOLINA C ,TOCANTINS,8046.45,m3,2000-01-01,2023-10-14
GASOLINA C ,MARANHÃO,19185.495,m3,2000-01-01,2023-10-14
GASOLINA C ,PIAUÍ,9638.45,m3,2000-01-01,2023-10-14
GASOLINA C ,CEARÁ,36847.944,m3,2000-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,17949.95,m3,2000-01-01,2023-10-14
GASOLINA C ,PARAÍBA,20266.851,m3,2000-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,51905.707,m3,2000-01-01,2023-10-14
GASOLINA C ,ALAGOAS,164548.30899999995,m3,2000-01-01,2023-10-14
GASOLINA C ,SERGIPE,12707.571,m3,2000-01-01,2023-10-14
GASOLINA C ,BAHIA,73630.193,m3,2000-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,197289.3,m3,2000-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,34425.525,m3,2000-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,162775.786,m3,2000-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,575302.161,m3,2000-01-01,2023-10-14
GASOLINA C ,PARANÁ,141272.276,m3,2000-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,84778.684,m3,2000-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,160079.439,m3,2000-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,21692.937,m3,2000-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,23245.28,m3,2000-01-01,2023-10-14
GASOLINA C ,GOIÁS,58254.692,m3,2000-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,593389.679,m3,2000-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,10500.844,m3,2001-01-01,2023-10-14
GASOLINA C ,ACRE,3345.625,m3,2001-01-01,2023-10-14
GASOLINA C ,AMAZONAS,22763.56,m3,2001-01-01,2023-10-14
GASOLINA C ,RORAIMA,3111.004,m3,2001-01-01,2023-10-14
GASOLINA C ,PARÁ,35388.101,m3,2001-01-01,2023-10-14
GASOLINA C ,AMAPÁ,3861.75,m3,2001-01-01,2023-10-14
GASOLINA C ,TOCANTINS,8425.556,m3,2001-01-01,2023-10-14
GASOLINA C ,MARANHÃO,17102.723,m3,2001-01-01,2023-10-14
GASOLINA C ,PIAUÍ,10160.891,m3,2001-01-01,2023-10-14
GASOLINA C ,CEARÁ,37412.089,m3,2001-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,17288.335,m3,2001-01-01,2023-10-14
GASOLINA C ,PARAÍBA,18375.675,m3,2001-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,579786.235,m3,2001-01-01,2023-10-14
GASOLINA C ,ALAGOAS,13568.178,m3,2001-01-01,2023-10-14
GASOLINA C ,SERGIPE,11668.753,m3,2001-01-01,2023-10-14
GASOLINA C ,BAHIA,74123.351,m3,2001-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,184219.455,m3,2001-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,36569.244,m3,2001-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,146681.188,m3,2001-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,660289.834,m3,2001-01-01,2023-10-14
GASOLINA C ,PARANÁ,123959.254,m3,2001-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,89426.347,m3,2001-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,159952.898,m3,2001-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,20968.944,m3,2001-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,32030.24,m3,2001-01-01,2023-10-14
GASOLINA C ,GOIÁS,720199.9099999999,m3,2001-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,50948.911,m3,2001-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,10469.805,m3,2002-01-01,2023-10-14
GASOLINA C ,ACRE,4451.197,m3,2002-01-01,2023-10-14
GASOLINA C ,AMAZONAS,22331.224,m3,2002-01-01,2023-10-14
GASOLINA C ,RORAIMA,4735.0,m3,2002-01-01,2023-10-14
GASOLINA C ,PARÁ,28452.295,m3,2002-01-01,2023-10-14
GASOLINA C ,AMAPÁ,3848.1,m3,2002-01-01,2023-10-14
GASOLINA C ,TOCANTINS,8494.098,m3,2002-01-01,2023-10-14
GASOLINA C ,MARANHÃO,20639.569,m3,2002-01-01,2023-10-14
GASOLINA C ,PIAUÍ,11344.116,m3,2002-01-01,2023-10-14
GASOLINA C ,CEARÁ,37094.959,m3,2002-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,20353.694,m3,2002-01-01,2023-10-14
GASOLINA C ,PARAÍBA,240567.715,m3,2002-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,52880.459,m3,2002-01-01,2023-10-14
GASOLINA C ,ALAGOAS,13044.657,m3,2002-01-01,2023-10-14
GASOLINA C ,SERGIPE,14221.868,m3,2002-01-01,2023-10-14
GASOLINA C ,BAHIA,70736.967,m3,2002-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,197349.903,m3,2002-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,33972.952,m3,2002-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,151016.755,m3,2002-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,627378.926,m3,2002-01-01,2023-10-14
GASOLINA C ,PARANÁ,119121.519,m3,2002-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,93629.204,m3,2002-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,152856.056,m3,2002-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,25173.493,m3,2002-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,325636.2540000001,m3,2002-01-01,2023-10-14
GASOLINA C ,GOIÁS,67844.61,m3,2002-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,54537.718,m3,2002-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,12687.923,m3,2003-01-01,2023-10-14
GASOLINA C ,ACRE,3963.002,m3,2003-01-01,2023-10-14
GASOLINA C ,AMAZONAS,23330.35,m3,2003-01-01,2023-10-14
GASOLINA C ,RORAIMA,4258.399,m3,2003-01-01,2023-10-14
GASOLINA C ,PARÁ,28451.245,m3,2003-01-01,2023-10-14
GASOLINA C ,AMAPÁ,4286.4,m3,2003-01-01,2023-10-14
GASOLINA C ,TOCANTINS,7281.356,m3,2003-01-01,2023-10-14
GASOLINA C ,MARANHÃO,16326.714,m3,2003-01-01,2023-10-14
GASOLINA C ,PIAUÍ,10191.948,m3,2003-01-01,2023-10-14
GASOLINA C ,CEARÁ,42444.828,m3,2003-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,218671.982,m3,2003-01-01,2023-10-14
GASOLINA C ,PARAÍBA,25145.413,m3,2003-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,48933.414,m3,2003-01-01,2023-10-14
GASOLINA C ,ALAGOAS,14358.817,m3,2003-01-01,2023-10-14
GASOLINA C ,SERGIPE,12697.061,m3,2003-01-01,2023-10-14
GASOLINA C ,BAHIA,71467.643,m3,2003-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,198950.87,m3,2003-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,32276.46,m3,2003-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,151298.069,m3,2003-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,532955.359,m3,2003-01-01,2023-10-14
GASOLINA C ,PARANÁ,106600.294,m3,2003-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,92750.8,m3,2003-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,156967.464,m3,2003-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,302352.311,m3,2003-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,31900.431,m3,2003-01-01,2023-10-14
GASOLINA C ,GOIÁS,67421.569,m3,2003-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,59741.044,m3,2003-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,15013.158,m3,2004-01-01,2023-10-14
GASOLINA C ,ACRE,4362.524,m3,2004-01-01,2023-10-14
GASOLINA C ,AMAZONAS,25590.409,m3,2004-01-01,2023-10-14
GASOLINA C ,RORAIMA,3713.6,m3,2004-01-01,2023-10-14
GASOLINA C ,PARÁ,29107.775,m3,2004-01-01,2023-10-14
GASOLINA C ,AMAPÁ,4844.4,m3,2004-01-01,2023-10-14
GASOLINA C ,TOCANTINS,9700.949,m3,2004-01-01,2023-10-14
GASOLINA C ,MARANHÃO,18983.836,m3,2004-01-01,2023-10-14
GASOLINA C ,PIAUÍ,13207.436,m3,2004-01-01,2023-10-14
GASOLINA C ,CEARÁ,503268.744,m3,2004-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,24192.259,m3,2004-01-01,2023-10-14
GASOLINA C ,PARAÍBA,22355.233,m3,2004-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,55188.112,m3,2004-01-01,2023-10-14
GASOLINA C ,ALAGOAS,15094.35,m3,2004-01-01,2023-10-14
GASOLINA C ,SERGIPE,13473.737,m3,2004-01-01,2023-10-14
GASOLINA C ,BAHIA,81976.188,m3,2004-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,200467.832,m3,2004-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,30255.883,m3,2004-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,157165.784,m3,2004-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,590699.89,m3,2004-01-01,2023-10-14
GASOLINA C ,PARANÁ,119383.604,m3,2004-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,114036.549,m3,2004-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,1964302.4759999996,m3,2004-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,31147.641,m3,2004-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,31258.547,m3,2004-01-01,2023-10-14
GASOLINA C ,GOIÁS,74040.858,m3,2004-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,61216.579,m3,2004-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,15862.505,m3,2005-01-01,2023-10-14
GASOLINA C ,ACRE,4356.252,m3,2005-01-01,2023-10-14
GASOLINA C ,AMAZONAS,20474.571,m3,2005-01-01,2023-10-14
GASOLINA C ,RORAIMA,3580.1,m3,2005-01-01,2023-10-14
GASOLINA C ,PARÁ,31598.509,m3,2005-01-01,2023-10-14
GASOLINA C ,AMAPÁ,4870.05,m3,2005-01-01,2023-10-14
GASOLINA C ,TOCANTINS,8933.688,m3,2005-01-01,2023-10-14
GASOLINA C ,MARANHÃO,23351.776,m3,2005-01-01,2023-10-14
GASOLINA C ,PIAUÍ,173735.648,m3,2005-01-01,2023-10-14
GASOLINA C ,CEARÁ,49862.67,m3,2005-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,21087.66,m3,2005-01-01,2023-10-14
GASOLINA C ,PARAÍBA,20989.708,m3,2005-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,51558.509,m3,2005-01-01,2023-10-14
GASOLINA C ,ALAGOAS,14056.401,m3,2005-01-01,2023-10-14
GASOLINA C ,SERGIPE,12749.764,m3,2005-01-01,2023-10-14
GASOLINA C ,BAHIA,84169.179,m3,2005-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,213884.224,m3,2005-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,34831.938,m3,2005-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,154521.498,m3,2005-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,540210.582,m3,2005-01-01,2023-10-14
GASOLINA C ,PARANÁ,127580.029,m3,2005-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,1353068.925,m3,2005-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,184473.192,m3,2005-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,25448.105,m3,2005-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,29564.915,m3,2005-01-01,2023-10-14
GASOLINA C ,GOIÁS,76927.935,m3,2005-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,63588.64,m3,2005-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,15637.411,m3,2006-01-01,2023-10-14
GASOLINA C ,ACRE,4312.826,m3,2006-01-01,2023-10-14
GASOLINA C ,AMAZONAS,27765.021,m3,2006-01-01,2023-10-14
GASOLINA C ,RORAIMA,3713.0,m3,2006-01-01,2023-10-14
GASOLINA C ,PARÁ,34543.228,m3,2006-01-01,2023-10-14
GASOLINA C ,AMAPÁ,4563.634,m3,2006-01-01,2023-10-14
GASOLINA C ,TOCANTINS,9274.168,m3,2006-01-01,2023-10-14
GASOLINA C ,MARANHÃO,306351.738,m3,2006-01-01,2023-10-14
GASOLINA C ,PIAUÍ,19309.941,m3,2006-01-01,2023-10-14
GASOLINA C ,CEARÁ,44867.955,m3,2006-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,23560.661,m3,2006-01-01,2023-10-14
GASOLINA C ,PARAÍBA,24829.84,m3,2006-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,56263.791,m3,2006-01-01,2023-10-14
GASOLINA C ,ALAGOAS,13172.839,m3,2006-01-01,2023-10-14
GASOLINA C ,SERGIPE,13993.842,m3,2006-01-01,2023-10-14
GASOLINA C ,BAHIA,82375.676,m3,2006-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,213519.19,m3,2006-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,38645.678,m3,2006-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,135486.217,m3,2006-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,540321.394,m3,2006-01-01,2023-10-14
GASOLINA C ,PARANÁ,1645806.401,m3,2006-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,144765.067,m3,2006-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,155948.186,m3,2006-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,26981.736,m3,2006-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,32436.703,m3,2006-01-01,2023-10-14
GASOLINA C ,GOIÁS,76071.29,m3,2006-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,57433.852,m3,2006-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,16399.48184274536,m3,2007-01-01,2023-10-14
GASOLINA C ,ACRE,4882.678978124006,m3,2007-01-01,2023-10-14
GASOLINA C ,AMAZONAS,27996.88800246946,m3,2007-01-01,2023-10-14
GASOLINA C ,RORAIMA,4621.942166992653,m3,2007-01-01,2023-10-14
GASOLINA C ,PARÁ,34134.92331939096,m3,2007-01-01,2023-10-14
GASOLINA C ,AMAPÁ,5407.356030142269,m3,2007-01-01,2023-10-14
GASOLINA C ,TOCANTINS,157048.592779404,m3,2007-01-01,2023-10-14
GASOLINA C ,MARANHÃO,30905.623530227353,m3,2007-01-01,2023-10-14
GASOLINA C ,PIAUÍ,17927.281347769032,m3,2007-01-01,2023-10-14
